Кладовщик / Комплектовщик;Кировград;Пятёрочка;
Начальник отдела технического обслуживания;Екатеринбург;Вест;AutoCAD, Проектная документация, Руководство коллективом, Сметы, Разработка проектной документации, 
Региональный менеджер по работе с ключевыми клиентами;Екатеринбург;Электро-Оптим;
Врач аллерголог-иммунолог Центра иммунопрофилактики;Екатеринбург;Новая больница, Медицинское объединение;Медицинская документация, Навыки межличностного общения, Медицинское оборудование, Вакцинопрофилактика, Консультативный прием пациентов, Клещевой энцефалит, 
Кладовщик / Комплектовщик;Североуральск;Пятёрочка;
Инженер-сметчик;Екатеринбург;Управление капитального строительства по Свердловской области, ГКУ;знание сметного дела, Гранд-смета, Сметы, ценообразование и сметное нормирование в строительстве, понимание процесса организации и ведения строительных работ, 
Агент прямых продаж;Екатеринбург;Билайн ШПД;Активные продажи, Деловое общение, Развитие продаж, Пользователь ПК, Клиентоориентированность, 
Специалист по продаже недвижимости;Екатеринбург;Этажи, федеральная компания;
Помощник печатника;Большой Исток;Витек;
Инженер проектов (радиоэлектронные компоненты);Екатеринбург;ГК Промэлектроника;Проектная работа, Знания в области радиоэлектроники, Опыт продаж технически сложного продукта, 
Врач-фтизиатр (г. Котлас, Архангельская область);Верхнее Дуброво;ГБУЗ Архангельской области Котласская ЦГБ;Умение работать в команде, Первичные документы, MS Publisher, Умение работать в коллективе, MS Office, 
Менеджер по продажам (изделия из нержавеющей стали);Екатеринбург;Практик-Центр;
Кладовщик / Комплектовщик;Кушва;Пятёрочка;
Разработчик баз данных Oracle;Екатеринбург;СКБ ЛАБ;ORACLE, Oracle Pl/SQL, PL+, IBSO, 
Провизор - фармацевт в новую аптеку (ул. Советская, 47 г);Екатеринбург;Живика, аптечная сеть;
Главный геолог;Нижняя Тура;Подразделение ООО Штайгер г. Екатеринбург;Производственное планирование, Бизнес-планирование, MS Access, Оперативное планирование, Работа с базами данных, 
Врач-фтизиатр (г. Котлас, Архангельская область);Арамиль;ГБУЗ Архангельской области Котласская ЦГБ;Умение работать в команде, Первичные документы, MS Publisher, Умение работать в коллективе, MS Office, 
Кладовщик / Комплектовщик;Первоуральск;Пятёрочка;
Полицейский (водитель) оперативной роты полиции;Первоуральск;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Менеджер по продажам (строительные и отделочные материалы);Екатеринбург;САТУРН УРАЛ;
Консультант по страхованию;Качканар;Росгосстрах;Ориентация на результат, Клиентоориентированность, 
Врач-фтизиатр (г. Котлас, Архангельская область);Екатеринбург;ГБУЗ Архангельской области Котласская ЦГБ;Умение работать в команде, Первичные документы, MS Publisher, Умение работать в коллективе, MS Office, 
Полицейский (водитель) оперативной роты полиции;Богданович;5 рота Полка ППСП УМВД России по г. Екатеринбург;
Полицейский оперативной роты полиции;Екатеринбург;5 рота Полка ППСП УМВД России по г. Екатеринбург;
